id	nev	kezdeseve	vegzeseve
830	Kis Martin	2003	2007
831	Gál István	2006	2010
832	Elek Zsuzsanna	2013	2017
833	Galambos András	2018	2022
834	Somos János	2004	2008
835	Elek Alexandra	2001	2005
836	Takács Zsolt	2014	2018
837	Németh Nándor	2003	2007
838	Farkas Luca	2021	NULL
839	Kocsis Kálmán	2018	2022
840	Juhász János	2003	2007
841	Galambos Martin	2011	2015
842	Szabó Dóri	2008	2012
843	Elek Mariann	2010	2014
844	Kocsis Dóri	2003	2007
845	Kocsis János	2005	2009
846	Kocsis Dániel	2015	2019
847	Gál Patrik	2002	2006
848	Pataki Aladár	2021	NULL
849	Torma Attila	2000	2004
850	Bencsik Gábor	2002	2006
851	Sípos Martin	2018	2022
852	Nagy István	2009	2013
853	Szekeres Gábor	2006	2010
854	Hujber György	2017	2021
855	Mészáros Ferenc	2017	2021
856	Fehér Dániel	2013	2017
857	Takács Petra	2011	2015
858	Mészáros Patrik	2004	2008
859	Győri Gábor	2001	2005
860	Kis Eszter	2016	2020
861	Töreki Lili	2002	2006
862	Gál Viktória	2010	2014
863	Juhász Patrik	2017	2021
864	Nagy Gergely	2020	NULL
865	Varga István	2019	2023
866	Kiss Ádám	2018	2022
867	Balogh Rozi	2021	NULL
868	Farkas Ádám	2016	2020
869	Ötvös Krisztina	2003	2007
870	Szekeres Bence	2005	2009
871	Halász Antal	2019	2023
872	Kis Gabriella	2003	2007
873	Galambos Bence	2016	2020
874	Hujber Kitti	2000	2004
875	Vámos Bence	2005	2009
876	Somos Bálint	2022	NULL
877	Takács Gabriella	2003	2007
878	Győri Luca	2007	2011
879	Nagy Bálint	2000	2004
880	Ötvös Adrienn	2013	2017
881	Mészáros Anna	2013	2017
882	Szakács Bálint	2010	2014
883	Molnár János	2001	2005
884	Halász Tímea	2018	2022
885	Nagy Jenő	2002	2006
886	Vámos Nikolett	2012	2016
887	Szabó Ádám	2004	2008
888	Varga Rudolf	2007	2011
889	Szabó Alexandra	2011	2015
890	Tóth Barbara	2006	2010
891	Vámos Ádám	2003	2007
892	Torma Jenő	2013	2017
893	Bencsik Zsuzsanna	2020	NULL
894	Kocsis Zsuzsanna	2019	2023
895	Mészáros Eszter	2000	2004
896	Galambos Ilonka	2009	2013
897	Halász Rozi	2012	2016
898	Juhász Roland	2011	2015
899	Győri Rebeka	2003	2007
900	Fekete Dániel	2001	2005
901	Németh Rozi	2000	2004
902	Gál Dániel	2017	2021
903	Nagy Rudolf	2001	2005
904	Fekete Tamás	2003	2007
905	Kovács Roland	2022	NULL
906	Balogh Rebeka	2007	2011
907	Bencsik Zoltán	2011	2015
908	Kocsis Ilonka	2001	2005
909	Fekete Fanni	2002	2006
910	Juhász Fanni	2005	2009
911	Pécsi Lilla	2007	2011
912	Magyar Lajos	2007	2011
913	Fehér Lilla	2010	2014
914	Ötvös Aladár	2008	2012
915	Varga Nándor	2013	2017
916	Farkas Noémi	2007	2011
917	Bencsik Kitti	2001	2005
918	Tóth Lilla	2012	2016
919	Töreki Ádám	2022	NULL
920	Balogh Bálint	2010	2014
921	Szabó Ilonka	2000	2004
922	Torma Petra	2000	2004
923	Torma István	2022	NULL
924	Szilágyi László	2015	2019
925	Fekete Margit	2004	2008
926	Hujber Petra	2006	2010
927	Kocsis Fanni	2012	2016
928	Töreki Zsófia	2011	2015
929	Somos Tamás	2016	2020
930	Molnár József	2018	2022
931	Hujber Nóra	2013	2017
932	Farkas Gergely	2004	2008
933	Varga György	2006	2010
934	Torma Gyula	2002	2006
935	Pataki Rozi	2003	2007
936	Tóth György	2004	2008
937	Magyar Margit	2010	2014
938	Juhász Petra	2008	2012
939	Vámos Gyula	2006	2010
940	Juhász Antal	2009	2013
941	Kovács Katalin	2020	NULL
942	Töreki Albert	2000	2004
943	Torma István	2010	2014
944	Kis Henrietta	2003	2007
945	Németh Kitti	2005	2009
946	Kovács Anna	2006	2010
947	Galambos Tímea	2020	NULL
948	Fekete Lilla	2011	2015
949	Sípos Henrietta	2017	2021
950	Sípos Dóri	2022	NULL
951	Torma Attila	2004	2008
952	Halász Kálmán	2016	2020
953	Torma Lili	2005	2009
954	Tóth Máté	2004	2008
955	Torma András	2005	2009
956	Kovács Lili	2017	2021
957	Gál Patrik	2007	2011
958	Torma Nóra	2019	2023
959	Kiss Albert	2018	2022
960	Rácz Krisztina	2022	NULL
961	Somos Roland	2012	2016
962	Molnár Helga	2018	2022
963	Balogh Lilla	2002	2006
964	Fehér Antal	2012	2016
965	Juhász János	2004	2008
966	Varga Lili	2005	2009
967	Magyar Klaudia	2005	2009
968	Somos Viktória	2022	NULL
969	Kocsis István	2007	2011
970	Szilágyi Alexandra	2006	2010
971	Torma Béla	2010	2014
972	Balogh Ádám	2002	2006
973	Fehér Petra	2006	2010
974	Balogh Adrienn	2010	2014
975	Elek Alexandra	2021	NULL
976	Szakács Zsolt	2017	2021
977	Szekeres Máté	2016	2020
978	Mészáros Dániel	2016	2020
979	Szekeres Bence	2009	2013
980	Pataki Ádám	2007	2011
981	Torma Lilla	2011	2015
982	Juhász András	2009	2013
983	Szabó György	2014	2018
984	Somos Attila	2012	2016
985	Töreki Margit	2000	2004
986	Fehér Albert	2006	2010
987	Sípos István	2022	NULL
988	Szilágyi Tímea	2020	NULL
989	Takács Attila	2006	2010
990	Szabó Antal	2013	2017
991	Molnár Tamás	2008	2012
992	Magyar Fanni	2013	2017
993	Torma Adrienn	2009	2013
994	Kocsis László	2010	2014
995	Juhász Gabriella	2007	2011
996	Magyar Máté	2019	2023
997	Varga János	2011	2015
998	Töreki Noémi	2012	2016
999	Fehér Lajos	2015	2019
1000	Nagy Eszter	2007	2011
1001	Farkas Rebeka	2003	2007
1002	Somos Nóra	2014	2018
1003	Rácz Nikolett	2010	2014
1004	Kovács József	2021	NULL
1005	Fekete Eszter	2001	2005
1006	Takács Roland	2016	2020
1007	Galambos Kálmán	2013	2017
1008	Galambos Zoltán	2016	2020
1009	Rácz Roland	2008	2012
1010	Hujber Bálint	2012	2016
1011	Rácz Martin	2014	2018
1012	Hujber Gabriella	2005	2009
1013	Ötvös Tímea	2006	2010
1014	Gál Viktória	2022	NULL
1015	Galambos Luca	2000	2004
1016	Gál Balázs	2017	2021
1017	Szekeres Réka	2019	2023
1018	Töreki Ádám	2004	2008
1019	Hujber Gábor	2013	2017
1020	Sípos István	2006	2010
1021	Tóth László	2016	2020
1022	Elek Aladár	2016	2020
1023	Varga Aladár	2021	NULL
1024	Kis Ilonka	2022	NULL
1025	Fekete András	2003	2007
1026	Hujber Gyula	2022	NULL
1027	Nagy Rozi	2008	2012
1028	Molnár Gábor	2016	2020
1029	Vámos Mariann	2012	2016
1030	Mészáros János	2021	NULL
1031	Sípos Kitti	2009	2013
1032	Magyar Bence	2002	2006
1033	Rácz Lajos	2004	2008
1034	Szakács Viktória	2001	2005
1035	Mészáros Attila	2010	2014
1036	Takács Helga	2018	2022
1037	Szekeres Lilla	2002	2006
1038	Kiss András	2022	NULL
1039	Molnár Gergely	2020	NULL
1040	Balogh Lili	2004	2008
1041	Ötvös Barbara	2019	2023
1042	Hujber Luca	2012	2016
1043	Takács Attila	2019	2023
1044	Galambos Rebeka	2001	2005
1045	Tóth Nikolett	2010	2014
1046	Győri Alajos	2014	2018
1047	Mészáros Dániel	2022	NULL
1048	Sípos Krisztina	2016	2020
1049	Mészáros István	2010	2014
1050	Torma Zsuzsanna	2015	2019
1051	Farkas Zoltán	2015	2019
1052	Elek Gyula	2017	2021
1053	Töreki István	2001	2005
1054	Kovács György	2008	2012
1055	Juhász Patrik	2014	2018
1056	Hujber Noémi	2018	2022
1057	Mészáros Ferenc	2018	2022
1058	Fehér Zsuzsanna	2012	2016
1059	Bencsik Alexandra	2022	NULL
1060	Szabó Gyula	2021	NULL
1061	Bencsik Ferenc	2004	2008
1062	Vámos Dóri	2004	2008
1063	Töreki Máté	2008	2012
1064	Kovács Nándor	2000	2004
1065	Varga Noémi	2017	2021
1066	Szabó Ilonka	2004	2008
1067	Elek Helga	2000	2004
1068	Farkas Gyula	2012	2016
1069	Töreki Ádám	2002	2006
1070	Szakács Lilla	2009	2013
1071	Takács Eszter	2012	2016
1072	Pécsi Bálint	2013	2017
1073	Balogh Nikolett	2015	2019
1074	Balogh Anna	2008	2012
1075	Kovács Bence	2003	2007
1076	Pécsi Nikolett	2003	2007
1077	Elek Krisztina	2015	2019
1078	Magyar Margit	2005	2009
1079	Rácz Nándor	2016	2020
1080	Molnár Dóri	2008	2012
1081	Pataki Viktória	2018	2022
1082	Farkas György	2002	2006
1083	Hujber Viktória	2005	2009
1084	Takács Béla	2017	2021
1085	Sípos Klaudia	2003	2007
1086	Pécsi Adrienn	2007	2011
1087	Szakács Alexandra	2014	2018
1088	Gál Gábor	2005	2009
1089	Vámos Roland	2005	2009
1090	Farkas Gábor	2013	2017
1091	Szakács Helga	2002	2006
1092	Elek György	2009	2013
1093	Rácz Lilla	2011	2015
1094	Szilágyi Zsolt	2001	2005
1095	Szakács Rozi	2001	2005
1096	Szekeres Kitti	2008	2012
1097	Nagy Alexandra	2011	2015
1098	Szakács Roland	2007	2011
1099	Elek Balázs	2019	2023
1100	Pataki Petra	2017	2021
1101	Tóth Martin	2013	2017
1102	Ötvös Ádám	2014	2018
1103	Tóth Noémi	2000	2004
1104	Fekete Alexandra	2014	2018
1105	Tóth Gyula	2017	2021
1106	Ötvös Bence	2009	2013
1107	Balogh Zsuzsanna	2016	2020
1108	Rácz Zoltán	2010	2014
1109	Nagy Tamás	2019	2023
1110	Nagy Rozi	2021	NULL
1111	Juhász Rozi	2013	2017
1112	Halász Nóra	2004	2008
1113	Juhász Gabriella	2012	2016
1114	Rácz Zsófia	2009	2013
1115	Molnár József	2014	2018
1116	Molnár György	2019	2023
1117	Szekeres Mariann	2013	2017
1118	Pécsi Klaudia	2006	2010
1119	Töreki Gergely	2000	2004
1120	Halász János	2014	2018
1121	Rácz Mariann	2009	2013
1122	Farkas Adrienn	2000	2004
1123	Hujber Ferenc	2020	NULL
1124	Gál Henrietta	2021	NULL
1125	Mészáros Béla	2018	2022
1126	Takács Eszter	2015	2019
1127	Halász Réka	2015	2019
1128	Szekeres Patrik	2013	2017
1129	Szilágyi Tamás	2013	2017
1130	Kocsis Béla	2004	2008
1131	Vámos Máté	2011	2015
1132	Balogh Krisztina	2007	2011
1133	Pécsi Alexandra	2002	2006
1134	Ötvös Rozi	2004	2008
1135	Juhász Rebeka	2000	2004
1136	Balogh Kálmán	2008	2012
1137	Nagy Rudolf	2021	NULL
1138	Takács Tímea	2007	2011
1139	Kovács Nikolett	2013	2017
1140	Varga Kitti	2004	2008
1141	Ötvös Klaudia	2014	2018
1142	Somos Martin	2009	2013
1143	Mészáros Barbara	2010	2014
1144	Balogh György	2019	2023
1145	Varga Ádám	2003	2007
1146	Nagy Jenő	2004	2008
1147	Szilágyi Margit	2021	NULL
1148	Kis Katalin	2022	NULL
1149	Gál Bence	2017	2021
1150	Pataki Réka	2010	2014
1151	Gál Gyula	2019	2023
1152	Galambos Alexandra	2019	2023
1153	Mészáros Tímea	2017	2021
1154	Farkas Gergely	2019	2023
1155	Szekeres Zsolt	2016	2020
1156	Elek Lajos	2021	NULL
1157	Juhász Gabriella	2016	2020
1158	Elek Aladár	2012	2016
1159	Somos Ilonka	2000	2004
1160	Molnár Martin	2017	2021
1161	Rácz Gabriella	2022	NULL
1162	Vámos Nikolett	2013	2017
1163	Pataki Gergely	2012	2016
1164	Magyar Helga	2003	2007
1165	Szekeres Albert	2020	NULL
1166	Kocsis Luca	2015	2019
1167	Kiss Gábor	2010	2014
1168	Halász József	2002	2006
1169	Tóth Roland	2004	2008
1170	Varga Bence	2011	2015
1171	Molnár Zsófia	2013	2017
1172	Vámos Gyula	2019	2023
1173	Szekeres Roland	2020	NULL
1174	Szekeres Bálint	2013	2017
1175	Szilágyi Aladár	2001	2005
1176	Gál Gergely	2018	2022
1177	Gál Nikolett	2008	2012
1178	Töreki Henrietta	2008	2012
1179	Sípos Ádám	2000	2004
1180	Farkas Martin	2000	2004
1181	Somos József	2009	2013
1182	Juhász Jenő	2000	2004
1183	Takács János	2002	2006
1184	Pataki Réka	2002	2006
1185	Ötvös Klaudia	2016	2020
1186	Sípos Nikolett	2009	2013
1187	Szabó Katalin	2006	2010
1188	Pataki Barbara	2013	2017
1189	Fekete Dániel	2015	2019
1190	Galambos Viktória	2016	2020
1191	Gál Zsolt	2018	2022
1192	Fehér Ilonka	2018	2022
1193	Fehér Aladár	2006	2010
1194	Tóth Adrienn	2014	2018
1195	Kocsis Gabriella	2002	2006
1196	Kovács Dóri	2011	2015
1197	Varga Ferenc	2015	2019
1198	Szekeres Alexandra	2019	2023
1199	Tóth Dóra	2007	2011
1200	Mészáros Petra	2005	2009
1201	Töreki Gabriella	2012	2016
1202	Molnár Ilonka	2004	2008
1203	Halász Dóri	2013	2017
1204	Bencsik Henrietta	2006	2010
1205	Rácz Mariann	2010	2014
1206	Varga András	2019	2023
1207	Takács Zoltán	2000	2004
1208	Somos Zsófia	2022	NULL
1209	Sípos Viktória	2019	2023
1210	Tóth Eszter	2020	NULL
1211	Kocsis László	2022	NULL
1212	Halász Dóra	2019	2023
1213	Győri András	2016	2020
1214	Vámos Fanni	2003	2007
1215	Magyar György	2009	2013
1216	Nagy Rebeka	2004	2008
1217	Farkas Roland	2004	2008
1218	Kovács Dóra	2009	2013
1219	Győri Fanni	2011	2015
1220	Pataki Antal	2007	2011
1221	Tóth Attila	2005	2009
1222	Takács Patrik	2020	NULL
1223	Győri Dóri	2018	2022
1224	Magyar Ilonka	2020	NULL
1225	Tóth Jenő	2015	2019
1226	Torma Anna	2012	2016
1227	Sípos Aladár	2022	NULL
1228	Tóth János	2019	2023
1229	Galambos Viktória	2014	2018
1230	Elek Lilla	2006	2010
1231	Szakács Kálmán	2008	2012
1232	Mészáros Zsuzsanna	2018	2022
1233	Nagy Albert	2014	2018
1234	Elek Gyula	2018	2022
1235	Győri Dóra	2013	2017
1236	Győri Balázs	2017	2021
1237	Kiss Ilonka	2006	2010
1238	Ötvös Jenő	2008	2012
1239	Pécsi Zsolt	2003	2007
1240	Pataki Luca	2002	2006
1241	Kis Roland	2002	2006
1242	Rácz Alajos	2004	2008
1243	Győri Kitti	2000	2004
1244	Kocsis Patrik	2002	2006
1245	Pécsi Réka	2016	2020
1246	Mészáros Dániel	2012	2016
1247	Galambos Lajos	2019	2023
1248	Gál József	2003	2007
1249	Halász Petra	2001	2005
1250	Tóth Klaudia	2005	2009
1251	Molnár Nándor	2006	2010
1252	Torma Ádám	2002	2006
1253	Németh Antal	2018	2022
1254	Győri Gyula	2001	2005
1255	Juhász Kitti	2017	2021
1256	Tóth Ádám	2001	2005
1257	Gál Tímea	2000	2004
1258	Kiss Gergely	2018	2022
1259	Bencsik Martin	2016	2020
1260	Balogh Attila	2004	2008
1261	Bencsik Jenő	2012	2016
1262	Töreki Gábor	2017	2021
1263	Németh Alajos	2012	2016
1264	Tóth Krisztina	2004	2008
1265	Galambos András	2013	2017
1266	Szekeres Katalin	2009	2013
1267	Molnár Albert	2019	2023
1268	Nagy Gyula	2002	2006
1269	Tóth Roland	2003	2007
1270	Nagy Tamás	2014	2018
1271	Sípos Rudolf	2013	2017
1272	Bencsik Máté	2016	2020
1273	Vámos Adrienn	2005	2009
1274	Mészáros Jenő	2021	NULL
1275	Szakács Bence	2002	2006
1276	Magyar Lili	2008	2012
1277	Tóth Klaudia	2008	2012
1278	Fekete Ferenc	2012	2016
1279	Balogh Henrietta	2020	NULL
1280	Sípos Nóra	2011	2015
1281	Németh Nikolett	2006	2010
1282	Juhász Rozi	2012	2016
1283	Mészáros Aladár	2016	2020
1284	Fekete Klaudia	2003	2007
1285	Szekeres Petra	2021	NULL
1286	Sípos Patrik	2013	2017
1287	Hujber Noémi	2007	2011
1288	Nagy Kitti	2002	2006
1289	Vámos András	2022	NULL
1290	Torma Helga	2000	2004
1291	Kovács Gergely	2016	2020
1292	Torma Adrienn	2003	2007
1293	Pataki Luca	2001	2005
1294	Nagy Patrik	2013	2017
1295	Ötvös József	2019	2023
1296	Sípos Antal	2004	2008
1297	Szekeres Alajos	2003	2007
1298	Balogh Rudolf	2013	2017
1299	Varga Viktória	2004	2008
1300	Somos Adrienn	2013	2017
1301	Szilágyi Nóra	2005	2009
1302	Galambos Mariann	2000	2004
1303	Szakács Nándor	2004	2008
1304	Ötvös Fanni	2006	2010
1305	Rácz Fanni	2022	NULL
1306	Pataki Klaudia	2010	2014
1307	Töreki Helga	2015	2019
1308	Kiss Barbara	2016	2020
1309	Szekeres Roland	2013	2017
1310	Töreki Ferenc	2013	2017
1311	Pataki Réka	2000	2004
1312	Gál Bálint	2016	2020
1313	Pataki Zsuzsanna	2005	2009
1314	Győri Barbara	2020	NULL
1315	Szakács Zoltán	2015	2019
1316	Kis Mariann	2000	2004
1317	Kocsis Ádám	2018	2022
1318	Farkas Petra	2008	2012
1319	Tóth Lili	2020	NULL
1320	Kovács Réka	2014	2018
1321	Fehér Zsófia	2011	2015
1322	Győri Tímea	2007	2011
1323	Torma Gabriella	2007	2011
1324	Tóth Mariann	2000	2004
1325	Kovács Viktória	2021	NULL
1326	Tóth Balázs	2015	2019
1327	Hujber Noémi	2000	2004
1328	Hujber Katalin	2002	2006
1329	Varga Helga	2018	2022
1330	Kocsis Lili	2000	2004
1331	Elek Dóri	2019	2023
1332	Halász Luca	2022	NULL
1333	Magyar Noémi	2022	NULL
1334	Pécsi Patrik	2004	2008
1335	Szakács Klaudia	2015	2019
1336	Vámos Zoltán	2017	2021
1337	Magyar Zoltán	2000	2004
1338	Gál Antal	2012	2016
1339	Juhász Nóra	2014	2018
1340	Vámos Gabriella	2012	2016
1341	Torma Lajos	2015	2019
1342	Kovács Katalin	2000	2004
1343	Ötvös Zoltán	2005	2009
1344	Takács Rebeka	2006	2010
1345	Kocsis Barbara	2020	NULL
1346	Rácz Luca	2010	2014
1347	Torma Tímea	2022	NULL
1348	Magyar Barbara	2000	2004
1349	Szabó László	2004	2008
1350	Pataki Helga	2002	2006
1351	Pataki Zsófia	2016	2020
1352	Kocsis Helga	2020	NULL
1353	Pataki Henrietta	2003	2007
1354	Magyar Klaudia	2010	2014
1355	Kovács Lajos	2011	2015
1356	Elek Krisztina	2000	2004
1357	Magyar Dóra	2010	2014
1358	Pécsi Adrienn	2011	2015
1359	Halász Dániel	2018	2022
1360	Molnár Gergely	2005	2009
1361	Németh Lili	2016	2020
1362	Fekete Albert	2008	2012
1363	Németh Gabriella	2008	2012
1364	Rácz Roland	2019	2023
1365	Kovács László	2002	2006
1366	Ötvös Fanni	2020	NULL
1367	Varga Henrietta	2010	2014
1368	Galambos Gergely	2017	2021
1369	Somos Albert	2020	NULL
1370	Pécsi Adrienn	2022	NULL
1371	Pécsi Aladár	2006	2010
1372	Juhász Gabriella	2007	2011
1373	Magyar György	2000	2004
1374	Töreki Attila	2014	2018
1375	Tóth Patrik	2017	2021
1376	Fehér Fanni	2007	2011
1377	Nagy Zsolt	2014	2018
1378	Magyar Henrietta	2016	2020
1379	Pécsi Zoltán	2000	2004
1380	Töreki Barbara	2016	2020
1381	Szakács Lili	2007	2011
1382	Győri Bence	2019	2023
1383	Pataki Gergely	2022	NULL
1384	Varga Fanni	2014	2018
1385	Torma Zsolt	2014	2018
1386	Tóth István	2010	2014
1387	Rácz Henrietta	2005	2009
1388	Szakács Kálmán	2011	2015
1389	Farkas Patrik	2019	2023
1390	Elek Henrietta	2018	2022
1391	Győri Klaudia	2008	2012
1392	Mészáros Adrienn	2002	2006
1393	Juhász Gábor	2010	2014
1394	Tóth Ádám	2011	2015
1395	Gál Balázs	2014	2018
1396	Kocsis Eszter	2006	2010
1397	Kovács Ilonka	2012	2016
1398	Szekeres Krisztina	2021	NULL
1399	Győri Bence	2019	2023
1400	Pécsi László	2019	2023
1401	Rácz Petra	2001	2005
1402	Juhász Adrienn	2003	2007
1403	Kocsis Máté	2015	2019
1404	Ötvös Margit	2005	2009
1405	Szilágyi Anna	2010	2014
1406	Molnár Máté	2000	2004
1407	Kovács József	2008	2012
1408	Töreki Lajos	2003	2007
1409	Somos János	2004	2008
1410	Mészáros Luca	2005	2009
1411	Fehér Zsófia	2022	NULL
1412	Győri Gyula	2018	2022
1413	Szekeres Krisztina	2011	2015
1414	Mészáros Ádám	2012	2016
1415	Vámos Réka	2010	2014
1416	Mészáros Tímea	2010	2014
1417	Kiss Margit	2002	2006
1418	Ötvös Réka	2004	2008
1419	Pataki Dániel	2021	NULL
1420	Kovács Anna	2017	2021
1421	Németh László	2017	2021
1422	Sípos Luca	2019	2023
1423	Tóth Lili	2013	2017
1424	Fekete György	2009	2013
1425	Somos Dóra	2015	2019
1426	Szakács Gyula	2000	2004
1427	Töreki Balázs	2008	2012
1428	Farkas Gabriella	2003	2007
1429	Szakács Jenő	2007	2011
1430	Fekete Dániel	2004	2008
1431	Pécsi Réka	2007	2011
1432	Gál Adrienn	2007	2011
1433	Szabó Tímea	2012	2016
1434	Bencsik Helga	2021	NULL
1435	Kiss Roland	2000	2004
1436	Balogh Krisztina	2018	2022
1437	Kovács László	2004	2008
1438	Hujber Jenő	2002	2006
1439	Torma Lajos	2009	2013
1440	Vámos László	2020	NULL
1441	Magyar Zsolt	2020	NULL
1442	Nagy Lili	2011	2015
1443	Gál Alexandra	2004	2008
1444	Szakács Bence	2003	2007
1445	Pécsi Alexandra	2020	NULL
1446	Gál Fanni	2017	2021
1447	Hujber Kitti	2021	NULL
1448	Juhász Nikolett	2007	2011
1449	Kiss Lajos	2000	2004
1450	Vámos Mariann	2002	2006
1451	Tóth László	2014	2018
1452	Kovács Lili	2011	2015
1453	Farkas Attila	2000	2004
1454	Kocsis Petra	2010	2014
1455	Hujber Attila	2019	2023
1456	Tóth Dániel	2014	2018
1457	Galambos Roland	2000	2004
1458	Kis Tamás	2012	2016
1459	Tóth Alajos	2014	2018
1460	Pécsi Krisztina	2008	2012
1461	Halász Fanni	2022	NULL
1462	Sípos Margit	2012	2016
1463	Nagy Margit	2008	2012
1464	Hujber Eszter	2008	2012
1465	Pécsi Gyula	2022	NULL
1466	Takács Barbara	2002	2006
1467	Takács Mariann	2014	2018
1468	Hujber Bence	2022	NULL
1469	Szekeres Jenő	2007	2011
1470	Szakács Adrienn	2000	2004
1471	Szakács Attila	2004	2008
1472	Juhász Lili	2009	2013
1473	Pécsi György	2015	2019
1474	Németh Jenő	2020	NULL
1475	Juhász Ilonka	2011	2015
1476	Kovács Alajos	2022	NULL
1477	Elek Zsuzsanna	2001	2005
1478	Balogh Dóra	2005	2009
1479	Szakács Rebeka	2003	2007
1480	Hujber Anna	2016	2020
1481	Nagy Gyula	2015	2019
1482	Halász Ferenc	2002	2006
1483	Szilágyi Kitti	2021	NULL
1484	Vámos Attila	2016	2020
1485	Pécsi István	2020	NULL
1486	Szabó Barbara	2017	2021
1487	Juhász Ádám	2018	2022
1488	Szilágyi Kálmán	2011	2015
1489	Nagy Adrienn	2001	2005
1490	Kovács Jenő	2011	2015
1491	Szakács Katalin	2018	2022
1492	Halász Alexandra	2019	2023
1493	Elek Máté	2016	2020
1494	Molnár Alexandra	2011	2015
1495	Pécsi Tamás	2014	2018
1496	Halász Martin	2006	2010
1497	Tóth György	2013	2017
1498	Tóth Margit	2018	2022
1499	Ötvös Barbara	2002	2006
1500	Kovács Rebeka	2019	2023
1501	Juhász Ádám	2012	2016
1502	Somos Réka	2000	2004
1503	Szekeres Nikolett	2005	2009
1504	Mészáros Rozi	2016	2020
1505	Mészáros Martin	2018	2022
1506	Mészáros Rebeka	2005	2009
1507	Kocsis Lilla	2016	2020
1508	Juhász Helga	2007	2011
1509	Balogh Alexandra	2014	2018
1510	Ötvös Helga	2020	NULL
1511	Töreki Luca	2005	2009
1512	Ötvös Zsófia	2018	2022
1513	Magyar Gergely	2005	2009
1514	Tóth Martin	2008	2012
1515	Kovács András	2011	2015
1516	Szabó Béla	2004	2008
1517	Farkas László	2008	2012
1518	Kis Dóra	2003	2007
1519	Elek Klaudia	2016	2020
1520	Sípos Petra	2001	2005
1521	Töreki Dániel	2017	2021
1522	Hujber Lilla	2004	2008
1523	Varga Aladár	2007	2011
1524	Farkas Gabriella	2017	2021
1525	Sípos Aladár	2013	2017
1526	Takács Tamás	2003	2007
1527	Varga Gábor	2003	2007
1528	Pataki Antal	2004	2008
1529	Ötvös Klaudia	2013	2017
1530	Farkas Tamás	2004	2008
1531	Magyar Gábor	2017	2021
1532	Kis György	2011	2015
1533	Takács Gergely	2002	2006
1534	Balogh Zsolt	2010	2014
1535	Bencsik Ádám	2016	2020
1536	Balogh György	2005	2009
1537	Tóth Krisztina	2015	2019
1538	Pécsi Krisztina	2011	2015
1539	Varga Balázs	2006	2010
1540	Galambos Ádám	2017	2021
1541	Szabó Lili	2010	2014
1542	Tóth Eszter	2012	2016
1543	Elek Gergely	2004	2008
1544	Győri Antal	2017	2021
1545	Szilágyi Rudolf	2022	NULL
1546	Rácz Dániel	2021	NULL
1547	Varga Katalin	2008	2012
1548	Farkas Patrik	2006	2010
1549	Szilágyi András	2018	2022
1550	Vámos Kálmán	2000	2004
1551	Magyar Katalin	2018	2022
1552	Vámos György	2008	2012
1553	Gál Noémi	2020	NULL
1554	Torma Balázs	2022	NULL
1555	Töreki Petra	2012	2016
1556	Kiss Bence	2008	2012
1557	Somos Lilla	2007	2011
1558	Kiss Zsolt	2007	2011
1559	Farkas Tímea	2002	2006
1560	Elek Noémi	2014	2018
1561	Balogh Zoltán	2017	2021
1562	Fekete Petra	2006	2010
1563	Farkas István	2013	2017
1564	Farkas Albert	2006	2010
1565	Molnár Lajos	2010	2014
1566	Pataki Zoltán	2012	2016
1567	Rácz Lili	2020	NULL
1568	Szabó Dóri	2000	2004
1569	Bencsik Roland	2005	2009
1570	Magyar Zoltán	2017	2021
1571	Németh Attila	2009	2013
1572	Győri Alajos	2001	2005
1573	Pataki Alajos	2000	2004
1574	Molnár Margit	2018	2022
1575	Mészáros Viktória	2022	NULL
1576	Töreki Zoltán	2020	NULL
1577	Juhász Ádám	2020	NULL
1578	Elek Lilla	2019	2023
1579	Torma Eszter	2005	2009
1580	Kocsis Rudolf	2002	2006
1581	Töreki Ádám	2004	2008
1582	Németh Krisztina	2006	2010
1583	Vámos Henrietta	2014	2018
1584	Juhász Eszter	2018	2022
1585	Bencsik Klaudia	2021	NULL
1586	Győri Noémi	2014	2018
1587	Kiss Bence	2013	2017
1588	Ötvös Dániel	2013	2017
1589	Németh Gábor	2009	2013
1590	Galambos János	2009	2013
1591	Galambos Eszter	2012	2016
1592	Molnár Béla	2005	2009
1593	Somos Gabriella	2011	2015
1594	Győri Eszter	2002	2006
1595	Fekete Bálint	2018	2022
1596	Németh Gabriella	2010	2014
1597	Kiss György	2000	2004
1598	Szakács József	2002	2006
1599	Pataki Lili	2001	2005
1600	Tóth Dóri	2009	2013
1601	Sípos Balázs	2015	2019
1602	Varga Dóra	2010	2014
1603	Varga Zoltán	2016	2020
1604	Töreki Dóri	2002	2006
1605	Hujber Zsuzsanna	2021	NULL
1606	Töreki Rozi	2013	2017
1607	Balogh Bálint	2004	2008
1608	Fekete Viktória	2000	2004
1609	Tóth Viktória	2016	2020
1610	Nagy Kálmán	2014	2018
1611	Molnár Katalin	2011	2015
1612	Molnár Attila	2005	2009
1613	Balogh László	2004	2008
1614	Rácz Kálmán	2006	2010
1615	Balogh Barbara	2010	2014
1616	Vámos Viktória	2012	2016
1617	Magyar Alexandra	2022	NULL
1618	Nagy Gyula	2017	2021
1619	Pataki Alexandra	2010	2014
1620	Németh Rudolf	2018	2022
1621	Molnár Krisztina	2018	2022
1622	Mészáros József	2005	2009
